date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:56:33	7970/7970	---M-Z	200	added ('OK')	text/html	etag:%221f22-61255b4e25e5b-gzip%22	https://www.residentevil.com/village/en-asia/topics/ps-upgrade/	E:/Httracks/FYP/www.residentevil.com/village/en-asia/topics/ps-upgrade/index.html	(from https://www.residentevil.com/village/en-asia/)
02:56:33	13888/13888	---M--	200	added ('OK')	image/jpeg	etag:%223640-61255b4de7a3e%22	https://www.residentevil.com/village/assets/images/about_img02.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/about_img02.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:33	23399/23399	---M--	200	added ('OK')	image/jpeg	etag:%225b67-61255b4de7a3e%22	https://www.residentevil.com/village/assets/images/about_img03.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/about_img03.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:34	8676/8676	---M--	200	added ('OK')	image/jpeg	etag:%2221e4-61255b4de7e26%22	https://www.residentevil.com/village/assets/images/character_btn-ethan.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_btn-ethan.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:34	7056/7056	---M--	200	added ('OK')	image/jpeg	etag:%221b90-61255b4de7a3e%22	https://www.residentevil.com/village/assets/images/character_btn-chris.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_btn-chris.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:34	6636/6636	---M--	200	added ('OK')	image/jpeg	etag:%2219ec-61255b4de7e26%22	https://www.residentevil.com/village/assets/images/character_btn-mia.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_btn-mia.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:35	9626/9626	---M--	200	added ('OK')	image/jpeg	etag:%22259a-61255b4de820e%22	https://www.residentevil.com/village/assets/images/character_btn-rosemary.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_btn-rosemary.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:35	4892/4892	---M--	200	added ('OK')	image/jpeg	etag:%22131c-61255b4de820e%22	https://www.residentevil.com/village/assets/images/character_btn-miranda.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_btn-miranda.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:36	7942/7942	---M--	200	added ('OK')	image/jpeg	etag:%221f06-61255b4de7e26%22	https://www.residentevil.com/village/assets/images/character_btn-duke.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_btn-duke.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:36	8224/8224	---M--	200	added ('OK')	image/jpeg	etag:%222020-61255b4de7a3e%22	https://www.residentevil.com/village/assets/images/character_btn-dimitrescu.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_btn-dimitrescu.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:36	4114/4114	---M--	200	added ('OK')	image/jpeg	etag:%221012-61255b4de820e%22	https://www.residentevil.com/village/assets/images/character_btn-moreau.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_btn-moreau.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:37	4766/4766	---M--	200	added ('OK')	image/jpeg	etag:%22129e-61255b4de7a3e%22	https://www.residentevil.com/village/assets/images/character_btn-dona.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_btn-dona.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:37	9965/9965	---M--	200	added ('OK')	image/jpeg	etag:%2226ed-61255b4de7e26%22	https://www.residentevil.com/village/assets/images/character_btn-heisenberg.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/character_btn-heisenberg.jpg	(from https://www.residentevil.com/village/en-asia/)
